salinity,sediment,root,f,jar_no,jar_notnum,plant_no,shoot_length,width,root_length,necrosis,leaves,new_shoots,shoot_weight,root_weight
Z,Disrupted,Disrupted,S-R-,99,Jar99,c,7.8,3,4.7,5,2,0,0.0155,0.0809
Z,Disrupted,Disrupted,S-R-,97,Jar97,a,14,2,6,50,2,0,0.0203,0.0556
Z,Disrupted,Disrupted,S-R-,89,Jar89,a,11.5,3,4.4,25,2,0,0.014,0.1193
Z,Intact,Disrupted,S+R-,85,Jar85,a,12,3,5,5,3,0,0.0364,0.4509
Z,Intact,Disrupted,S+R-,85,Jar85,c,9.8,2,6.4,0,3,0,0.0426,0.374
Z,Intact,Disrupted,S+R-,85,Jar85,b,11.4,3,7,5,3,0,0.0503,0.3298
Z,Intact,Disrupted,S+R-,83,Jar83,a,10.7,3,7.6,75,3,0,0.0343,0.2643
Z,Intact,Disrupted,S+R-,88,Jar88,a,10.4,3,7.6,50,2,0,0.0206,0.2588
Z,Intact,Disrupted,S+R-,87,Jar87,a,10.9,4,7,5,4,1,0.0528,0.2004
Z,Intact,Disrupted,S+R-,84,Jar84,c,12,3,9,50,1,0,0.0255,0.1897
Z,Intact,Disrupted,S+R-,87,Jar87,b,12.4,4,6.5,0,3,0,0.0415,0.174
Z,Intact,Disrupted,S+R-,88,Jar88,c,6.6,3,3.7,25,2,0,0.0178,0.1466
Z,Intact,Disrupted,S+R-,86,Jar86,b,13.2,3,7.2,50,2,0,0.0485,0.1354
Z,Intact,Disrupted,S+R-,83,Jar83,b,9.6,3,5.5,50,2,0,0.0186,0.1082
Z,Intact,Disrupted,S+R-,86,Jar86,c,11.1,3,6.5,50,2,0,0.0304,0.0939
Z,Intact,Disrupted,S+R-,84,Jar84,b,10.8,3,5.3,50,1,0,0.0251,0.0706
Z,Intact,Disrupted,S+R-,86,Jar86,a,10,3,6.7,75,2,0,0.0237,0.0705
Z,Intact,Disrupted,S+R-,84,Jar84,a,11.9,3,4.7,75,2,0,0.0354,0.0674
Z,Intact,Disrupted,S+R-,83,Jar83,c,11.1,2,4.7,90,2,1,0.0152,0.0656
Z,Intact,Disrupted,S+R-,88,Jar88,b,7.3,3,4.2,5,2,0,0.0177,0.0402
Z,Intact,Disrupted,S+R-,87,Jar87,c,10.9,2,4.1,0,2,0,0.0178,0.0278
